Map Worksheet,,1189,0,96,149,286,369,156,323,410,156,0,203,108,347,373,654,160,161,154,149,0,0,0,0,145,0,215,124,46,42,265,788,27,92,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,,,,23,<< # Authorities Counted +1,,,,,,,,
,"THESE AUTHORITIES
 →→→

MAP TO THESE SP800-53
CONTROLS ↓↓↓

Questions & Comments: davischr2@gmail.com",SELECT ALL AUTHORATATIVE SOURCES,<<< SP 800-53r5 BASELINES >>>,SP 800-53r5 PRIVACY (See Also NIST PF),SP 800-53r5 LOW,SP 800-53r5 MOD,SP 800-53r5 HIGH,SP 800-53r5 FedRAMP LOW,SP 800-53r5 FedRAMP MOD,SP 800-53r5 FedRAMP HIGH,SP 800-53r5 FedRAMP LOW I-SaaS,<<< COMMON AUTHORITIES >>>,Payment Card Industry DSS v4.0,HIPAA SP 800-66r2,Criminal Justice IS Policy v5.9,Internal Revenue Service p1075 r11-2021,Cloud Security Alliance v4,Center for Internet Security v8,ISO/IEC 27002 Security Controls,ISO/IEC 27017 Cloud Controls,ISO/IEC 27018 Privacy Controls,--,--,--,--,NYC OTI Cybersecurity Policies,<<< ADDITIONAL NIST & FISMA RELATED >>>,CyberSecurity Framework v1.1,CMMCv2 Practice Areas,Executive Order 14028 Security Measures,SP 800-218 Secure Software Dev (SSDF v1.1),SP 800-160v2 Cyber-Resilient Systems (MITRE CREF),Secure Controls Framework (SCF) (2022 August),Key Enterprise Controls Missing from FISMA MOD Baselines,SP 800-172 Enhanced Requirements for Protecting CUI,NIST Privacy Framework,--,--,--,--,<<< FUTURE WORK - WAITING ON NIST >>>,[FUTURE] SP 800-171r2 Complete Baseline (SP 800-53r4 MOD**),[FUTURE] SP 800-171r2 CUI Specific Controls,[FUTURE] SP 800-171r2 NFO (Assumed In-place Controls),[FUTURE] SP 800-171r2 NCO (Important Integrity Controls),[FUTURE] SP 800-171r2 FED (Unique Fed Controls),[FUTURE] DHS 4300B National Security Systems,[FUTURE] IL4 FedRAMP+ for FedRAMP MOD MAP,[FUTURE] IL5/6 FedRAMP+ for FedRAMP MOD MAP,[FUTURE] IL5/6 FedRAMP+ for FedRAMP HIGH MAP,[FUTURE] IL6 CNSSI 1253 App F Attach 5 Classified Overlay MAP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,NIST BASELINES,,,POPULARITY RAW SCORE,CONSENSUS PRIORITY 0-10,PK,,,,,,,,
CONTROLS,CONTROL NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-01,Policy and Procedures,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,,,,1,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,18, 7.8 ,1,,0,,,,,,
AC-02,Account Management,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,20, 8.7 ,2,,0,,,,,,
AC-02(01),Account Management | Automated System Account Management,1,,,,1,1,,1,1,,,,,1,1,1,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,9, 3.9 ,3,,2,,,,,,
AC-02(02),Account Management | Automated Temporary and Emergency Account Management,1,,,,1,1,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,8, 3.5 ,4,,2,Count All,1189,,,,
AC-02(03),Account Management | Disable Accounts,1,,,,1,1,,1,1,,,1,,1,1,1,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,10, 4.3 ,5,,2,Sum All,2838.57,,,,
AC-02(04),Account Management | Automated Audit Actions,1,,,,1,1,,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,8, 3.5 ,6,,2,Ave All,2.4,,,,
AC-02(05),Account Management | Inactivity Logout,1,,,,1,1,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,7, 3.0 ,7,,2,Baselines,8,,,,
AC-02(06),Account Management | Dynamic Privilege Management,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,8,,3,Priority High,0,,,,
AC-02(07),Account Management | Privileged User Accounts,1,,,,,,,1,1,,,1,,1,1,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,8, 3.5 ,9,,2,Priority Low,3,,,,
AC-02(08),Account Management | Dynamic Account Management,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,2, 0.9 ,10,,3,TARGET VALUES,,ESTIMATE,,RESULT #,RESULT %
AC-02(09),Account Management | Restrictions on Use of Shared and Group Accounts,1,,,,,,,1,1,,,1,,,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,6, 2.6 ,11,,2,P0,15%,0.5,150,150,12.6%
AC-02(10),[WITHDRAWN]: Supervision and Review — Access Control,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,0, -   ,12,,3,P1,15%,1.5,286,136.00,11.4%
